Date,Price
14/09/2014,39.92
15/09/2014,42.81
16/09/2014,45.61
17/09/2014,45.58
18/09/2014,44.08
19/09/2014,44.76
20/09/2014,44.73
21/09/2014,43.5
22/09/2014,43.94
23/09/2014,43.79
24/09/2014,43.07
25/09/2014,42.98
26/09/2014,40.7
27/09/2014,43.82
28/09/2014,41.81
29/09/2014,44.16
30/09/2014,43.14
01/10/2014,45.94
02/10/2014,44.29
03/10/2014,41.8
04/10/2014,42.74
05/10/2014,40.98
06/10/2014,44.2
07/10/2014,44.47
08/10/2014,41.81
09/10/2014,41.64
10/10/2014,43.53
11/10/2014,46.49
12/10/2014,45.61
13/10/2014,44.94
14/10/2014,46.71
15/10/2014,50.02
16/10/2014,54.86
17/10/2014,49.31
18/10/2014,40.51
19/10/2014,35.94
20/10/2014,43.88
21/10/2014,39.31
22/10/2014,44.39
23/10/2014,44.74
24/10/2014,45.13
25/10/2014,40.89
26/10/2014,37.35
27/10/2014,39.12
28/10/2014,43.15
29/10/2014,53.96
30/10/2014,51.86
31/10/2014,42.55
01/11/2014,41.22
02/11/2014,37.95
03/11/2014,46.39
04/11/2014,54.34
05/11/2014,51.4
06/11/2014,43.62
07/11/2014,41.28
08/11/2014,44.76
09/11/2014,48.15
10/11/2014,46.31
11/11/2014,43.78
12/11/2014,45.28
13/11/2014,43.7
14/11/2014,42.94
15/11/2014,47.47
16/11/2014,46.57
17/11/2014,49.87
18/11/2014,49.64
19/11/2014,48.4
20/11/2014,49.9
21/11/2014,47.03
22/11/2014,44.96
23/11/2014,43.99
24/11/2014,50.35
25/11/2014,52.44
26/11/2014,53.95
27/11/2014,53.96
28/11/2014,48.16
29/11/2014,49.98
30/11/2014,50.79
01/12/2014,51.52
02/12/2014,48.89
03/12/2014,50.58
04/12/2014,52.58
05/12/2014,47.96
06/12/2014,46.44
07/12/2014,41.48
08/12/2014,44.76
09/12/2014,45.97
10/12/2014,43.88
11/12/2014,45.33
12/12/2014,45.34
13/12/2014,44
14/12/2014,39.31
15/12/2014,43.99
16/12/2014,44.55
17/12/2014,41.6
18/12/2014,41.83
19/12/2014,40.54
20/12/2014,40.23
21/12/2014,40.6
22/12/2014,39.74
23/12/2014,40.85
24/12/2014,39.11
25/12/2014,39.8
26/12/2014,44.69
27/12/2014,43.35
28/12/2014,45.32
29/12/2014,47.25
30/12/2014,45.47
31/12/2014,41.39
01/01/2015,37.08
02/01/2015,36.17
03/01/2015,41.63
04/01/2015,42.76
05/01/2015,42.84
06/01/2015,41.07
07/01/2015,38.83
08/01/2015,38.6
09/01/2015,37.29
10/01/2015,34.09
11/01/2015,34.85
12/01/2015,38.44
13/01/2015,40.04
14/01/2015,38.5
15/01/2015,38.74
16/01/2015,40.91
17/01/2015,40.65
18/01/2015,40.11
19/01/2015,43.46
20/01/2015,41.16
21/01/2015,42.58
22/01/2015,43.42
23/01/2015,39.11
24/01/2015,37.82
25/01/2015,39.63
26/01/2015,40.13
27/01/2015,38.78
28/01/2015,35.57
29/01/2015,39.03
30/01/2015,39.85
31/01/2015,35.51
01/02/2015,39.52
02/02/2015,44.03
03/02/2015,43.1
04/02/2015,41.39
05/02/2015,45.15
06/02/2015,43.82
07/02/2015,42.29
08/02/2015,41.58
09/02/2015,45.84
10/02/2015,48.4
11/02/2015,45
12/02/2015,48.6
13/02/2015,42.84
14/02/2015,43.8
15/02/2015,41.58
16/02/2015,43.91
17/02/2015,42.62
18/02/2015,40.69
19/02/2015,40.73
20/02/2015,42.55
21/02/2015,40.94
22/02/2015,42.9
23/02/2015,41.51
24/02/2015,40.72
25/02/2015,42.06
26/02/2015,40.67
27/02/2015,44.14
28/02/2015,42.07
01/03/2015,34.91
02/03/2015,42.74
03/03/2015,41.25
04/03/2015,41.67
05/03/2015,40.21
06/03/2015,40.92
07/03/2015,35.98
08/03/2015,33.85
09/03/2015,38.14
10/03/2015,40.62
11/03/2015,40.78
